epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
79,10865.9,1.89429,1.16067,1.14817,0.74389,0.64499,0.71966,0.38477,1.68877,1.04794,1.09027,0.0009704,0.0009704,0.0009704
80,10921.1,1.89394,1.13995,1.14854,0.74621,0.64546,0.71989,0.38638,1.6789,1.02314,1.08906,0.0009572,0.0009572,0.0009572
81,10971,1.85121,1.12164,1.13578,0.74425,0.64089,0.7151,0.3813,1.68913,1.04214,1.09155,0.000944,0.000944,0.000944
82,11014.6,1.88226,1.13323,1.14568,0.72841,0.64503,0.71225,0.38213,1.68434,1.0604,1.09091,0.0009308,0.0009308,0.0009308
83,11055.9,1.86539,1.12685,1.13842,0.74803,0.64546,0.72024,0.38627,1.68553,1.00636,1.09149,0.0009176,0.0009176,0.0009176
84,11097.8,1.86925,1.13128,1.13774,0.75291,0.64126,0.72365,0.38694,1.67982,1.01429,1.09039,0.0009044,0.0009044,0.0009044
85,11134,1.86275,1.1304,1.14465,0.7432,0.64794,0.72018,0.3798,1.68751,1.01843,1.08901,0.0008912,0.0008912,0.0008912
86,11171.1,1.86942,1.13965,1.13346,0.74357,0.64033,0.71454,0.37817,1.69934,1.04037,1.09605,0.000878,0.000878,0.000878
87,11223.8,1.84722,1.11942,1.14253,0.73817,0.64386,0.71576,0.38273,1.68276,1.01884,1.09039,0.0008648,0.0008648,0.0008648
88,11272.1,1.85643,1.12855,1.13404,0.75528,0.63934,0.71921,0.3865,1.68213,1.01238,1.0879,0.0008516,0.0008516,0.0008516
89,11330.8,1.86001,1.12045,1.13379,0.74463,0.6394,0.71461,0.37901,1.70033,1.01667,1.09379,0.0008384,0.0008384,0.0008384
90,11374.9,1.86775,1.12812,1.13308,0.73913,0.64151,0.71497,0.38506,1.68978,1.01465,1.09145,0.0008252,0.0008252,0.0008252
91,11418.2,1.86387,1.12694,1.14649,0.73846,0.65177,0.71953,0.38044,1.69156,1.05186,1.09061,0.000812,0.000812,0.000812
92,11472.2,1.85751,1.11999,1.13376,0.74526,0.64513,0.71889,0.38296,1.68226,1.01173,1.08714,0.0007988,0.0007988,0.0007988
93,11508.8,1.86101,1.11662,1.13119,0.74361,0.65492,0.72607,0.39289,1.67164,0.9971,1.08473,0.0007856,0.0007856,0.0007856
94,11561,1.86931,1.12023,1.13481,0.74828,0.65164,0.72658,0.39225,1.67362,0.99349,1.08493,0.0007724,0.0007724,0.0007724
95,11598.8,1.84946,1.12333,1.13439,0.74454,0.64593,0.72081,0.387,1.67759,1.01558,1.08531,0.0007592,0.0007592,0.0007592
96,11637.3,1.85553,1.11688,1.13799,0.746,0.65263,0.72277,0.38882,1.67765,1.00456,1.08779,0.000746,0.000746,0.000746
97,12230.4,1.84518,1.11523,1.1359,0.75138,0.64981,0.7235,0.38805,1.70215,1.00847,1.09301,0.0007328,0.0007328,0.0007328
98,12286.8,1.85097,1.12415,1.1362,0.74731,0.65041,0.71957,0.38646,1.7129,1.02657,1.09467,0.0007196,0.0007196,0.0007196
99,12354.2,1.85401,1.1133,1.13347,0.74519,0.64906,0.7222,0.3855,1.68597,1.01287,1.08786,0.0007064,0.0007064,0.0007064
100,12405.7,1.84046,1.10525,1.13464,0.74258,0.65202,0.72324,0.39191,1.66476,1.00323,1.08302,0.0006932,0.0006932,0.0006932
101,12442.3,1.8478,1.1151,1.1311,0.74849,0.65232,0.72498,0.39171,1.67282,0.99926,1.08369,0.00068,0.00068,0.00068
102,12491.6,1.84325,1.11102,1.12677,0.7501,0.64834,0.72528,0.37813,1.7053,1.02225,1.09015,0.0006668,0.0006668,0.0006668
103,12550.8,1.85948,1.11425,1.14388,0.74479,0.64763,0.72063,0.38328,1.6768,1.01591,1.08281,0.0006536,0.0006536,0.0006536
104,12597.6,1.84378,1.13269,1.14353,0.74761,0.6486,0.72396,0.39081,1.67881,1.00457,1.08699,0.0006404,0.0006404,0.0006404
105,12651.5,1.80719,1.08582,1.1306,0.74077,0.6454,0.71822,0.38594,1.67324,1.0176,1.0835,0.0006272,0.0006272,0.0006272
